site_name,site_id,ccamlr region,longitude_EPSG4326,latitude_EPSG4326,common_name,day,month,year,season_starting,count,accuracy,count_type,vantage,reference,notes
Haswell Island,HASW,58.4.1,93.01,-66.52,adelie penguin,22,1,1979,1978,11300,1,chicks,ground,"<strong>Starck, W., </strong><i> 1980</i>. The avifauna of Haswell Island (East Antarctica) in the summer of 1978/1979. Polish Polar Research 1:183-196.",None
Haswell Island,HASW,58.4.1,93.01,-66.52,emperor penguin,27,10,2009,2009,3247,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Haswell Island,HASW,58.4.1,93.01,-66.52,adelie penguin,18,1,2012,2011,4011,5,nests,vhr,"<strong>Lynch, H. J. and M. A. LaRue, </strong><i> 2014</i>. First global census of the Ad&#233;lie Penguin. The Auk 131:457-466.",None
Kloa Point,KLOA,58.4.2,57.28,-66.64,emperor penguin,Unknown,Unknown,1977,1977,3050,1,chicks,None,"<strong>Wilson, G., </strong><i> 1983</i>. Distribution and abundance of Antarctic and sub- Antarctic penguins: A synthesis of current knowledge, volume 4 of BIOMASS Scientific Series. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Kloa Point,KLOA,58.4.2,57.28,-66.64,emperor penguin,Unknown,Unknown,1985,1985,4500,2,chicks,None,"<strong>Woehler, E. J., </strong><i> 1993</i>. The distribution and abundance of Antarctic and Subantarctic penguins. Scientific Committee on Antarctic Research (SCAR), Cambridge, United Kingdom.",None
Kloa Point,KLOA,58.4.2,57.28,-66.64,emperor penguin,13,11,2009,2009,3283,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Lazarev,LAZA,48.6,15.55,-69.75,emperor penguin,11,10,2009,2009,821,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Ledda Bay,LEDD,88.2,-130.784,-74.228,emperor penguin,27,10,2009,2009,0,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Luitpold,LUIT,48.5,-33.6,-77.77,emperor penguin,12,11,2009,2009,6498,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
Mertz Glacier,MERT,58.4.1,146.62,-66.892,emperor penguin,17,11,2009,2009,4781,2,adults,vhr,"<strong>Fretwell, P. T., M. A. LaRue, P. Morin, G. L. Kooyman, B. Wienecke, N. Ratcliffe, A. J. Fox, A. H. Fleming, C. Porter, and P. N. Trathan, </strong><i> 2012</i>. An emperor penguin population estimate: The first global, synoptic survey of a species from space. PLoS ONE 7:e33751.",See original source for more details on methodology and survey precision.
